club,Shot,Ball (mph),Club (mph),Smash,Carry (yds),Total (yds),Roll (yds),Swing H (°),Spin (rpm),Height (ft),Time (s),AOA (°),Spin Loft (°),Swing V (°),Spin Axis (°),Lateral (yds),Shot Type,FTP (°),FTT (°),Dynamic Loft (°),Club Path (°),Launch H (°),Launch V (°),Low Point (ftin),DescentV (°),Curve Dist (yds),Lateral Impact (in),Vertical Impact (in),Mode,Location,Temperature (°F),Humidity (%),Air Pressure (psi),Altitude (ft),Wind Relative Direction,Wind Speed (mph)
8 Iron,1,105.1,84.8,1.25,154,155.4,1.4,4.9 L,6820,74.5,5.5,-6.5,34.9,61,4.3 L,13.2 L,Draw,2.3 L,3.6 L,28.3,1.3 L,3 L,18.3,6.1″,40.4,-5.2,0.55,-0.89,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,2,98,79.5,1.24,139.6,144.9,5.3,1.5 L,6756,56.8,5,-3.2,23.7,63.7,4.7 L,4.2 L,Draw,0.4 R,0.5 R,20.5,0.1 R,0.4 R,15.4,4.6″,36.2,-5.2,-,-,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,3,103.6,84.4,1.22,144.2,144.8,0.6,1.3 L,7030,85,5.8,-2.6,28.2,62.3,7.1 L,11.3 L,Draw,0.8 L,0.8 L,25.6,0 R,0.6 L,18.6,2.7″,46.5,-9.8,0.06,-0.02,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,4,110.6,82.9,1.33,158.2,159,0.9,0.1 R,6455,92.4,6.1,-3.5,26.5,75.2,5.6 L,10.2 L,Draw,1.9 L,0.9 L,22.9,1 R,0.4 L,16.5,3.3″,46.9,-9.2,-,-,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,5,106.5,86.9,1.24,148.5,148.7,0.2,2.2 L,8204,84.1,5.8,-3.8,27.8,61.4,5.6 R,12.1 R,Fade,2.3 R,2.1 R,24,0.2 L,1.5 R,17.2,4.3″,45.9,8.1,-1.38,-0.88,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,6,109.9,86.2,1.26,164.6,165.9,1.3,2 L,5963,104.6,6.4,-1.7,27.9,62.1,0.4 L,1.6 L,Straight,1 R,0.1 L,26.2,1.1 L,0.3 L,19.3,1.8″,47,-0.8,0.32,-0.16,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,7,110.1,84.8,1.29,155.4,155.9,0.5,1.6 L,7308,93.2,6.1,-2.8,26.3,61.1,0.2 L,0.5 L,Straight,0.1 L,0.2 L,23.4,0.1 L,0.1 L,17.3,3.3″,47.3,-0.2,-0.02,-0.18,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,8,105.7,85.6,1.24,153,153.6,0.6,1.7 L,8017,71,5.5,-4.7,26.4,60,1.7 R,2 R,Straight,1.5 L,0.5 L,21.7,1 R,0.1 L,15.5,5.1″,40.7,2.2,-,-,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,9,106.7,82.3,1.31,163.2,165.3,2.1,0 R,5347,90.4,6,-1.3,27.4,63.8,3.6 L,10.8 L,Draw,3.4 L,2.8 L,25.9,0.6 R,2 L,19.3,1.3″,44.1,-5.3,-,-,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
8 Iron,10,105.7,83.5,1.26,162.8,166.6,3.7,2.5 L,4520,94.7,6,-5.1,38.8,62.3,0.8 R,1.7 R,Straight,0.1 R,0.2 R,33.8,0.1 R,0.2 R,21.9,4.8″,43.1,1.1,1.38,-1.13,Outdoor,View,77 °F,50 %,14.7 psi,0 ft,,0 mph
